gene	conMean	treatMean	logFC	pValue	fdr
AGTR1	8.51940588235294	1.12442230919765	-2.92156884173219	2.74646207634212e-30	7.34319264463633e-29
AGTR2	38.9852529411765	3.90716731898239	-3.31873355158985	1.83951236751488e-25	1.41109411783059e-24
AHCY	64.9983274509804	217.90025851272	1.74519340800584	2.34277235987654e-28	3.14411228933332e-27
AHCYL2	90.1082705882353	18.0959180039139	-2.31599523256403	4.81609851239619e-31	2.19669412215746e-29
AHNAK	434.622307843137	164.817153228963	-1.39889582777104	1.16755289718522e-21	5.50388675450337e-21
AHNAK2	4.83867450980392	37.7454759295499	2.96361993756818	1.82148507450001e-16	5.40243189605111e-16
AHSG	0.186923529411765	4.13248043052838	4.46648789956435	1.30122684261004e-09	2.43120171631306e-09
AIF1	163.904539215686	57.4862056751468	-1.51156809413975	9.28385593899804e-27	8.87058308792728e-26
AIFM3	0.87463137254902	2.2034133072407	1.33299313210535	8.72736338379838e-07	1.36913935678204e-06
AIM2	3.82941960784314	18.9572250489237	2.30755014159756	2.85869150326414e-13	6.74977159593724e-13
AIMP2	13.6773764705882	31.918830332681	1.22261625904014	3.68578458061905e-26	3.18169933650497e-25
AK1	24.3992588235294	4.86671917808219	-2.32581588869156	4.52048508087166e-31	2.12652781623752e-29
AK4	2.61574509803922	23.2685497064579	3.15308742905386	9.82605493698056e-29	1.4419735620019e-27
AK7	8.32928039215686	2.10592622309198	-1.98373696407769	9.847819308548e-20	3.81289888936155e-19
AKAP12	57.5428823529412	11.5931244618395	-2.31136804888438	4.58058663032697e-25	3.29826667178904e-24
AKAP13	57.1018882352941	19.1380876712329	-1.57709177407604	2.72104831558897e-27	2.88811897081499e-26
AKAP14	7.0032	1.0719686888454	-2.70775152238643	1.51256509017337e-13	3.62913475785155e-13
AKAP5	3.78529607843137	1.36909491193738	-1.46718368510107	3.41042857076208e-23	1.90268149628806e-22
AKAP6	2.22933333333333	0.900698043052838	-1.30749691468531	1.4227940835012e-20	5.98602147751627e-20
AKNA	26.211268627451	11.4652285714286	-1.19292206505573	4.81009035782624e-22	2.37792127136624e-21
AKR1B10	2.51599215686275	735.337031311155	8.19113440524789	7.05796790236346e-26	5.77512876665509e-25
AKR1B15	0.0551352941176471	14.6070755381605	8.04947551543257	2.67666630553537e-27	2.84324719048254e-26
AKR1C1	10.6242764705882	250.631343248532	4.56013034533443	8.78628493650715e-08	1.4741348692405e-07
AKR1C2	6.10406470588235	299.324895107632	5.61579820829992	3.80755132066654e-17	1.19022344015557e-16
AKR1C3	30.6442921568627	329.155089041096	3.42507721740601	2.55606617617277e-05	3.64446609404463e-05
AKR1C4	0.103133333333333	1.30996966731898	3.66695080500023	4.13140703950724e-06	6.20308345644876e-06
AKR1E2	1.84422352941176	5.95475107632094	1.69102767259121	1.08562243350809e-09	2.03909132927000e-09
AKR7A3	0.615025490196078	4.62167553816047	2.90969786946841	2.29963678384797e-18	7.87205786478992e-18
ALDH18A1	35.8407529411765	93.5849980430528	1.38467633418806	1.17916892523694e-28	1.69181292875918e-27
ALDH1A2	10.8666392156863	1.58191252446184	-2.78016408930065	1.23194619739034e-26	1.1526337914738e-25
ALDH1L1	0.474217647058824	2.54831095890411	2.42592007797691	0.00085631293662412	0.00110221002548977
ALDH1L2	3.09038431372549	7.64455694716243	1.30664663042931	9.74892527570016e-10	1.83647726254264e-09
ALDH2	132.362233333333	30.8691990215264	-2.10025158517749	2.32463230701245e-30	6.53851266186981e-29
ALDH3A1	22.1650274509804	273.626538551859	3.62585110707044	3.43493039077514e-07	5.53533005560458e-07
ALDH3B1	97.7801568627451	10.4855917808219	-3.22113343390958	5.40882302702112e-31	2.37092596389e-29
ALDH3B2	1.79793529411765	50.4257236790607	4.80974687790502	9.4355126518038e-29	1.38767817333337e-27
ALDH4A1	16.5213980392157	35.343168297456	1.097095601768	1.32013093569097e-11	2.81209967856797e-11
ALDOA	3.72978235294118	8.941414481409	1.26141162952629	1.41366280321395e-16	4.23565501690891e-16
ALDOC	17.3804529411765	60.0315935420744	1.78825628507468	2.13970389059509e-18	7.34133220506336e-18
ALG10	1.85778235294118	4.84548590998043	1.38305985394363	3.9779328409917e-23	2.20468642120672e-22
ALG1L	2.13873725490196	42.7350363992172	4.32058818859862	2.05520923437694e-28	2.81699288054041e-27
ALG1L2	0.449098039215686	1.41330880626223	1.65397439886837	1.02417406088779e-15	2.88190370905503e-15
ALG3	26.9662764705882	130.011044618395	2.26940595568423	8.59995017350766e-30	1.79178900142788e-28
ALKAL2	12.8390470588235	2.63765577299413	-2.28320992334934	1.32109954253208e-25	1.03279085308559e-24
ALKBH2	10.4932470588235	26.2455528375734	1.32261180839832	4.19263155533028e-24	2.62910908632207e-23
ALKBH6	0.53246862745098	1.91315244618395	1.84518340615356	1.33333344887095e-17	4.30550942195807e-17
ALOX12	2.01926862745098	5.9806904109589	1.5664791906469	0.000243515577050179	0.000325450940452873
ALOX12B	0.486937254901961	2.88041174168297	2.564467264503	1.55244346913419e-11	3.29626830443931e-11
ALOX15B	130.193964705882	18.0734665362035	-2.84871742184862	1.85061497481562e-27	2.01168701891994e-26
