conMean	treatMean	logFC	pValue	fdr
AKNA	26.211268627451	11.4652285714286	-1.19292206505573	4.81009035782624e-22	2.37792127136624e-21
ALDH1A2	10.8666392156863	1.58191252446184	-2.78016408930065	1.23194619739034e-26	1.1526337914738e-25
ALDH2	132.362233333333	30.8691990215264	-2.10025158517749	2.32463230701245e-30	6.53851266186981e-29
ALDH3B1	97.7801568627451	10.4855917808219	-3.22113343390958	5.40882302702112e-31	2.37092596389e-29
ALKAL2	12.8390470588235	2.63765577299413	-2.28320992334934	1.32109954253208e-25	1.03279085308559e-24
ALOX15B	130.193964705882	18.0734665362035	-2.84871742184862	1.85061497481562e-27	2.01168701891994e-26
ALOX5	167.665243137255	25.8440430528376	-2.69767996182547	2.34901791313159e-30	6.56606435718211e-29
ALOX5AP	320.799247058824	44.6542115459883	-2.84480260153476	1.10597826720477e-30	3.70516441328328e-29
ALPK3	13.0047352941176	3.71302622309198	-1.80836962481837	1.49552101565275e-25	1.16040397886941e-24
ALPL	345.50902745098	62.1058039138943	-2.47592340315583	1.07225955158483e-27	1.21959361465432e-26
ALPP	4.80335294117647	1.90122739726027	-1.33711072236578	5.68886248211781e-27	5.65375288153059e-26
AMIGO1	14.326237254902	5.86814970645793	-1.2876821574482	1.17779865352165e-21	5.55024768628126e-21
AMOTL2	58.4230431372549	26.3522031311155	-1.14861392619947	1.14241397057548e-18	4.03129404514886e-18
ANG	15.7160117647059	4.53679354207436	-1.79249023996737	6.47973980186991e-29	1.00324929126898e-27
ANGPT1	28.4016254901961	4.1320446183953	-2.78104576301798	7.99980513688705e-30	1.68495115683482e-28
ANGPTL1	13.6203431372549	1.2804397260274	-3.41105180176827	2.66331996854447e-31	1.65706124455157e-29
ANK2	4.51009411764706	1.24043874755382	-1.86230704308017	2.90911194639087e-25	2.15804935729356e-24
ANKDD1B	2.21201764705882	0.889467514677104	-1.31434907401672	6.78113985635082e-18	2.2423026497717e-17
ANKRD1	178.736705882353	3.88313385518591	-5.52447069144514	1.86532749121889e-30	5.50327686035724e-29
ANKRD29	33.3973352941176	7.24608747553816	-2.20445887019301	1.70965009484365e-27	1.8735378190328e-26
ANKRD44	12.3287960784314	3.75064363992172	-1.71682182596333	1.50311758920659e-28	2.10952084946759e-27
ANKS1A	44.1860666666667	21.1524344422701	-1.0627677984412	3.4595415880128e-20	1.4005178704576e-19
ANO5	3.52685490196078	0.792922700587084	-2.15313008886395	9.37462728821836e-27	8.94495040223819e-26
ANO6	70.9320588235294	34.7024399217221	-1.03140072086732	1.32734556420657e-22	6.96482412061908e-22
ANOS1	82.1392431372549	13.2032739726027	-2.6371759395193	1.95418443337259e-28	2.69218816683299e-27
ANPEP	57.9684509803922	17.2490176125245	-1.74875373669196	1.26931790269879e-22	6.67071273037616e-22
ANTXR2	24.5225607843137	11.6350203522505	-1.07563590691915	6.8267224874042e-21	2.97795089830191e-20
ANXA3	126.479398039216	25.1224412915851	-2.33185383542359	1.48811848241966e-27	1.65358745935373e-26
ANXA6	138.928621568627	54.6548334637965	-1.34592285565089	1.87959972345122e-25	1.44102645464594e-24
AOC3	260.848305882353	21.0364244618395	-3.6322496463266	1.09008307521013e-31	1.57735813812225e-29
AOX1	21.6591607843137	2.92984324853229	-2.88608195946144	5.12532039712062e-28	6.37759914115442e-27
APBB1	33.6533039215686	9.50372954990215	-1.82418246204848	3.33086095651641e-28	4.30746683658315e-27
