conMean	treatMean	logFC	pValue	fdr
BRI3BP	6.89386862745098	22.8255964774951	1.72726684968853	4.77858171072985e-28	5.98475247463485e-27
BRIP1	0.46656862745098	5.44202876712329	3.54398337542771	5.02379791457334e-31	2.26087652148849e-29
BRIX1	12.1271725490196	44.7663113502935	1.88417022287605	8.96890282980138e-29	1.33065007807855e-27
BRSK1	1.25250784313725	4.63282113502935	1.88707134603292	9.00204292366946e-16	2.54367342568749e-15
BTBD11	0.64161568627451	11.4769005870841	4.1608798616946	5.2767402681922e-25	3.75745096839994e-24
BTBD16	0.299076470588235	1.93164637964775	2.69124469068383	9.3050451260769e-06	1.36670381034774e-05
BUB1	2.19053529411765	23.0597888454012	3.39602393773136	4.06730393819502e-31	2.0478252830478e-29
BUB1B	1.10284509803922	21.5775491193738	4.29022893185318	1.5007417781032e-31	1.57735813812225e-29
BUB3	21.2560176470588	42.9188418786693	1.01373981627194	2.90915475170305e-25	2.15804935729356e-24
BX276092.9	0.0159372549019608	1.21267945205479	6.2496512875603	2.77850504459152e-10	5.43031218978432e-10
BYSL	22.7765254901961	64.3945070450098	1.49938994556567	4.8474043062986e-25	3.47003210706985e-24
BZW2	29.4321254901961	87.2123500978474	1.56714071612434	1.47304483708493e-28	2.07162274432121e-27
C10orf99	0.177062745098039	49.5941348336595	8.12976500894332	1.46335560696304e-22	7.64876656972822e-22
C11orf80	6.4163862745098	15.5648391389432	1.27845776520238	2.83934686768657e-26	2.49570456123935e-25
C11orf87	0.0758352941176471	1.15774070450098	3.93229892143123	0.00533114785434712	0.00647148239359292
C12orf54	0.531578431372549	9.9762686888454	4.23014584748997	1.40278558707571e-16	4.2058645816365e-16
C12orf56	0.0352117647058824	4.70044285714286	7.0605953455186	5.59534293383442e-30	1.26749538506206e-28
C12orf66	3.87967450980392	8.85565772994129	1.19066384244924	4.63874623852225e-23	2.55519024750261e-22
C12orf73	3.31030784313726	6.68368845401174	1.01367909963294	3.7719756639139e-18	1.27249983604452e-17
C12orf75	15.5115	38.1140485322896	1.29698465629422	9.37541389155926e-08	1.57024516747229e-07
C15orf48	5.14520588235294	22.5301125244618	2.13055380702097	8.91966689097016e-14	2.17098292220999e-13
C16orf74	1.66137647058824	15.9261307240705	3.26094487215647	3.90111638144332e-25	2.83776790225573e-24
C17orf100	2.75114901960784	5.99952367906067	1.12481367795215	3.80211465432615e-18	1.28202672197945e-17
C17orf58	8.74189019607843	17.6540252446184	1.01398000369334	2.39276027863655e-17	7.59573395764685e-17
C17orf75	7.55369803921569	15.3717547945205	1.02502685028822	1.64431158755231e-15	4.54822268275348e-15
C17orf99	0.123043137254902	1.51365616438356	3.62080142747494	4.27279821619717e-21	1.90197984559439e-20
C18orf54	2.07691176470588	5.00835068493151	1.26989565719161	5.7694923421524e-17	1.77921447278385e-16
C19orf57	0.935203921568627	3.15717181996086	1.75527989268556	9.20022186749495e-17	2.79757196921282e-16
C19orf73	1.56746666666667	4.48378101761252	1.51628105701975	6.72787750166635e-18	2.22575530874779e-17
